,date_type,subjects,abstract,volume,uri,date,divisions,publication,dir,full_text_status,status_changed,ispublished,rev_number,datestamp,eprintid,eprint_status,metadata_visibility,userid,number,lastmod,documents,type,creators,title,refereed,contact_email,issn,related_url,publisher,official_url,id_number,pagerange,corp_creators,referencetext,pres_type,event_type,event_title
0,published,['AC'],Hasil Penilaian Sejawat Sebidang Atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Akreditasi,5.0,http://repository.lppm.unila.ac.id/id/eprint/18026,1970-01-01 00:00:00.000002014,['FISIP3'],Goverment and Politics,disk0/00/01/80/26,public,2020-02-18 01:54:37,pub,7,2020-02-18 01:54:37,18026,archive,show,7,2.0,2020-05-15 07:27:48,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '8. Ari D Reviewer Local Autonomy.pdf', 'docid': 32950, 'files': [{'fileid': 185919, 'datasetid': 'document', 'hash': '63ac180ef623bf5241da0af25720a57d', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-15 07:27:48', 'objectid': 32950, 'filesize': 675384, 'uri': 'http://repository.lppm.unila.ac.id/id/file/185919', 'filename': '8. Ari D Reviewer Local Autonomy.pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32950', 'pos': 1, 'eprintid': 18026, 'placement': 1}]",article,"[{'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}]",local autonomy and inter sector performance based governance in lampung province,TRUE,,,,,,,,,,,,
1,published,['AC'],Similarity,,http://repository.lppm.unila.ac.id/id/eprint/18038,1970-01-01 00:00:00.000002014,['FISIP3'],Goverment and Politics,disk0/00/01/80/38,public,2020-02-18 01:53:40,pub,6,2020-02-18 01:53:40,18038,archive,show,880,,2020-02-18 01:53:40,"[{'placement': 1, 'eprintid': 18038, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31173', 'pos': 1, 'security': 'public', 'main': '8. Similarity -Local_Autonomy_and_Inter_Sector_Performance_Based.pdf', 'files': [{'datasetid': 'document', 'fileid': 152056, 'hash': 'f27d08e268337e9419be0b18fd64ce51', 'mime_type': 'application/pdf', 'filesize': 1758781, 'objectid': 31173, 'uri': 'http://repository.lppm.unila.ac.id/id/file/152056', 'filename': '8. Similarity -Local_Autonomy_and_Inter_Sector_Performance_Based.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-18 01:38:27'}], 'docid': 31173, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",article,"[{'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}]",local autonomy and inter sector performance based governance in lampung province,TRUE,,,,,,,,,,,,
2,published,['JQ'],"ABSTRACT


Islamic parties had triumphed in the trajectory of politics in Indonesia, especially in the 1955 election. Entering the authoritarian New Order era, the Islamic party that begins a drastic decline from the 1971 election and subsequent elections (1977-1997). This study aims to explain the map strength, competition, and cooperation (coalition) of Islamist parties in the elections, presidential elections, and local elections in Lampung post-New Order. The results showed a tendency of Islamic parties do not have high competitiveness compared with nationalist parties in the Parliament election results of 1999 and 2004 elections. This weakness was not supported by the ability of legislative representatives as members of legislative quality. In terms of cohesiveness as a collective force, Islamic parties have not been able to be a balancing force and alternatives. Patterns coalition of Islamic parties in the 2004 presidential election and the 2005 local elections in Lampung is still varied and consideration is political interest, not similarities party ideology and vision. This phenomenon indicates the prominence of narrow pragmatism aspect to pursue short-term goals.

Keywords: Political Map, the Islamic Party, Competition, Coalition, Elections",1.0,http://repository.lppm.unila.ac.id/id/eprint/18312,2014-04-01 00:00:00.000000000,['FISIP3'],Jurnal Islam & Demokrasi,disk0/00/01/83/12,public,2020-03-03 09:10:30,pub,6,2020-03-03 09:10:30,18312,archive,show,813,3.0,2020-03-03 09:10:30,"[{'format': 'text', 'main': 'Peta Kekuatan Politik Partai-partai Islam.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-02-28 15:10:31', 'objectid': 31463, 'filesize': 3932308, 'filename': 'Peta Kekuatan Politik Partai-partai Islam.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/154103', 'fileid': 154103, 'datasetid': 'document', 'hash': '860192cb931eec4013022c082cc10335', 'mime_type': 'application/pdf'}], 'docid': 31463, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 18312, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31463'}]",article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hertanto', 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]","PETA KEKUATAN POLITIK PARTAI-PARTAI ISLAM: 
PERSAINGAN DAN KOALISI DALAM PEMILU DI LAMPUNG",TRUE,jurnal.islamdemokrasi.@gmail.com,2252-7842,"[{'type': 'pub', 'url': 'https://fisip.unand.ac.id/en/alumni/data-alumni/tahun-2019/item/135-jurnal-islam-demokrasi-ilmu-politik'}]","Jurusan Ilmu Politik, Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Andalas",https://fisip.unand.ac.id/en/alumni/data-alumni/tahun-2019/item/135-jurnal-islam-demokrasi-ilmu-politik,75171266.0,31-46,,,,,
3,published,['JS'],"ABSTRAK

Muhammad Ridho Ficardo adalah gubernur baru Lampung (2014) yang fenomenal karena masih muda (33 tahun) dan “anak bawang pendatang baru” di kancah politik elit Lampung. Lebih menarik lagi bahwa pilkada di Lampung tahun 2015 adalah gelombang pertama pilkada di bawah kepemimpinan Gubernur Ridho Ficardo. Stabilitas politik, keamanan, dan netralitas gubernur serta jajaran birokrasinya merupakan batu ujian pertama bagi Gubernur Ridho dalam menyambut gelombang pertama pilkada kabupaten/kota di Lampung pada awal pemerintahannya. Banyak harapan masyarakat yang digantungkan kepada gubernur baru untuk meningkatkan kesejahteraan dan demokrasi lokal yang kondusif dan berkualitas. Kemampuan mengelola dua perkara di atas akan menjadi salah satu tabungan bagi “track record”nya dalam menapaki karier politiknya yang masih terbentang luas dan panjang untuk menuju peringkat yang lebih tinggi dan cemerlang.",,http://repository.lppm.unila.ac.id/id/eprint/18429,2014-08-27 00:00:00.000000000,['FISIP3'],Lampung Post,disk0/00/01/84/29,public,2020-03-12 02:24:24,pub,7,2020-03-12 02:24:24,18429,archive,show,813,,2020-03-12 02:24:24,"[{'docid': 31584, 'main': 'RIDHO.pdf', 'files': [{'mtime': '2020-03-07 13:40:09', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/154986', 'filename': 'RIDHO.pdf', 'objectid': 31584, 'filesize': 338016, 'hash': '6e6e03c4ab268848676567dfb1e04619', 'mime_type': 'application/pdf', 'fileid': 154986, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 18429, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31584', 'security': 'public'}]",article,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}}]",RIDHO DAN GELOMBANG PEMILUKADA 1,TRUE,redaksi@lampungpost.co.id,1234,"[{'type': 'pub', 'url': 'https://lampungpost.id/blog/category/kolom/opini/'}]","Harian Umum ""Lampung Post""",https://lampungpost.id/blog/category/kolom/opini/,721773888.0,4-4,,,,,
4,published,['JF'],"ABSTRAK

Strategi adalah suatu cara untuk mengalahkan lawan atau mencapai tujuan. Strategi ini biasanya mengacu pada rencana yang komprehensif atau berjangka panjang yang mencakup berbagai gerakan yang langsung diarahkan untuk mencapai tujuan yang menyeluruh. Dalam pemilu, strategi digunakan sebagai cara bertindak yang bersifat persuasif dari individu aktivis politik, kelompok, atau partai politik untuk mempengaruhi pemilih dalam usaha memenangkan pemilihan. Dalam negara demokratis, strategi pemenangan pemilu ini mesti dijalankan dalam konteks yang fair play sesuai batasan perundang-undangan yang berlaku. Berbeda dengan strategi, taktik dalam prakteknya lebih mengarah kepada segala tindakan muslihat dan seluk beluk untuk mempengaruhi sikap (pendirian) orang lain tanpa disadari atau memanipulasi orang. Inilah perbedaan penting antara strategi perang dan strategi politik, di mana politik berlangsung dalam kepastian hukum. Bahkan hukum adalah salah satu sumber yang bisa digunakan dalam mencapai tujuan politik. Di samping itu dalam perjuangan politik, hasil akhir yang dicapai adalah merima kekalahan dengan lapang dada atau mendapatkan kemenangan secara beradab. Bukan suatu penaklukan, penyerahan, atau bahkan membunuh dan menghancurkan lawan seperti dalam perang.",,http://repository.lppm.unila.ac.id/id/eprint/18425,2014-01-09 00:00:00.000000000,['FISIP3'],Lampung Post,disk0/00/01/84/25,public,2020-03-11 04:53:01,pub,6,2020-03-11 04:53:01,18425,archive,show,813,,2020-03-11 04:53:01,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31580, 'main': 'STRATEGI DAN MUSLIHAT DALAM PEMILU (KADA).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-03-07 05:54:21', 'filesize': 548852, 'objectid': 31580, 'filename': 'STRATEGI DAN MUSLIHAT DALAM PEMILU (KADA).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/154964', 'fileid': 154964, 'datasetid': 'document', 'hash': '0ee6f52cf6adc81fb95aee116ee269e0', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31580', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18425}]",article,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Hertanto', 'lineage': None, 'given': 'Hertanto'}}]",STRATEGI DAN MUSLIHAT DALAM PEMILU/KADA,TRUE,redaksi@lampungpost.co.id,1234,"[{'type': 'pub', 'url': 'https://lampungpost.id/blog/category/kolom/opini/'}]","Harian Umum ""Lampung Post""",https://lampungpost.id/,721773888.0,12-12,,,,,
5,,['JC'],,,http://repository.lppm.unila.ac.id/id/eprint/44771,1970-01-01 00:00:00.000002014,['FISIP3'],,disk0/00/04/47/71,public,2022-09-05 10:00:13,pub,9,2022-09-05 10:00:13,44771,archive,show,813,,2022-09-05 10:00:13,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'PETA PARPOL ISLAM_JID_Unand_2014.pdf.pdf', 'docid': 166659, 'files': [{'filesize': 679065, 'objectid': 166659, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483389', 'filename': 'PETA PARPOL ISLAM_JID_Unand_2014.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 07:11:04', 'fileid': 483389, 'datasetid': 'document', 'hash': '9bf7610d08b41470c8506fe031750009', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166659', 'pos': 1, 'eprintid': 44771, 'placement': 1}]",other,"[{'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]","Similirity : PETA KEKUATAN POLITIK PARTAIPARTAI ISLAM:
PERSAINGAN DAN KOALISI DALAM PEMILU DI LAMPUNG",,,,,Universitas Andalas,,,,,,,,
6,published,['JF'],"ABSTRAK

Tahun politik adalah tahun di mana akan ada peristiwa-peristiwa politik penting pada tingkat nasional maupun daerah. Pada tahun politik 2014 ini di Lampung akan berlangsung tiga arena pemilihan umum (pemilu), yaitu pemilihan Gubernur Lampung, pemilu legislatif, dan pemilu presiden. Sebagaimana umumnya terjadi, setiap menjelang pemilu maka dinamika, tensi, dan suhu politik mulai meningkat dan mulailah wabah konflik internal dan antarpartai politik mulai berjangkit. Pemilu 2014 sebagai sebuah peristiwa demokrasi, pasti membuat media massa saling berlomba menyajikan berita dan liputan politik terbaiknya. Harapannya, media massa hendaknya mampu menjadi bagian penting dari demokrasi dengan mengambil fungsi posisi sebagai gerakan pencerdasan politik yang mencerahkan dalam proses pendidikan demokrasi di Lampung. Media massa memiliki peran yang cukup penting di dalam proses demokratisasi lokal pada era reformasi. Bahkan, media massa yang sebelumnya menjadi obyek kontrol dari pemerintah, telah memiliki andil yang cukup besar bagi penyebaran gagasan dan gerakan tentang pentingnya mengakhiri pemerintahan yang otoriter.",,http://repository.lppm.unila.ac.id/id/eprint/18431,2014-02-03 00:00:00.000000000,['FISIP3'],Radar Lampung,disk0/00/01/84/31,public,2020-03-12 03:57:43,pub,6,2020-03-12 03:57:43,18431,archive,show,813,,2020-03-12 03:57:43,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31586', 'pos': 1, 'eprintid': 18431, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'TAHUN POLITIK.pdf', 'docid': 31586, 'files': [{'fileid': 154999, 'datasetid': 'document', 'hash': 'deeb5f5ab9a5442dbe22366944fa9f7c', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-03-07 14:01:47', 'objectid': 31586, 'filesize': 232897, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154999', 'filename': 'TAHUN POLITIK.pdf'}]}]",article,"[{'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",TAHUN POLITIK DAN MEDIA MASSA DI LAMPUNG,TRUE,admin@radarlampung.co.id,,"[{'type': 'pub', 'url': 'https://radarlampung.co.id/?s=penerbit+radar+lampung'}]",Radar Group,https://radarlampung.co.id/?s=penerbit+radar+lampung,721782306.0,N4-N4,,,,,
7,published,['JC'],"The main purpose of this research is to identify the position of political studies in the Department of Government, the University of Lampung (Unila) in the middle of trend and the paradigm shifts in political science. The methodology used is qualitative research with content (simple quantitative data) and discourse analyses. The primary data are 80 undergraduate students' theses that are collected randomly. This research concludes that there is a fallacy in the meaning of politics among students perception. The politics means
the study of political party, voting behaviour and election. In contrast,according to the students' point if views, the study of government is the study of state institutions with the old-institutionalism approach.",5.0,http://repository.lppm.unila.ac.id/id/eprint/21229,1970-01-01 00:00:00.000002014,['FISIP3'],Jurnal Ilmiah Administrasi Publik dan Pembangunan,disk0/00/02/12/29,public,2020-05-31 02:18:41,pub,10,2020-05-31 02:18:41,21229,archive,show,284,2.0,2020-05-31 02:18:41,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2020-05-31 01:52:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197660', 'filename': 'PERGESERAN_PARADIGMA_DAN_JEBAKAN_PENDEKA.pdf', 'objectid': 34626, 'filesize': 394729, 'hash': 'd825d1d3a49f4ff751bc2d70d85f7ffe', 'mime_type': 'application/pdf', 'fileid': 197660, 'datasetid': 'document'}], 'main': 'PERGESERAN_PARADIGMA_DAN_JEBAKAN_PENDEKA.pdf', 'docid': 34626, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34626', 'eprintid': 21229, 'placement': 1}]",article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Kurniawan', 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",PERGESERAN PARADIGMA DAN JEBAKAN PENDEKATAN OLD-INSTITUTIONALISM DALAM STUDI POLITIK DAN PEMERINTAHAN DI UNIVERSITAS LAMPUNG,FALSE,,,,,,,114-121,,,,,
8,published,['AC'],Sejawat Sebidang peer review,,http://repository.lppm.unila.ac.id/id/eprint/14188,1970-01-01 00:00:00.000002014,['FISIP3'],,disk0/00/01/41/88,public,2019-10-17 01:04:05,pub,7,2019-10-17 01:04:05,14188,archive,show,681,,2019-10-17 01:04:05,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '16.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '0a74e502be55ad533a9641f3d967b36f', 'fileid': 123255, 'datasetid': 'document', 'mtime': '2019-09-12 04:50:54', 'hash_type': 'MD5', 'filename': '16.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123255', 'objectid': 27229, 'filesize': 229619}], 'docid': 27229, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27229', 'pos': 1, 'eprintid': 14188, 'placement': 1}]",other,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'honourific': None, 'family': 'Mukhlis', 'lineage': None}}]",Analisis isu kebijakan dalam pengembangan kelembagaan pemerintah (studi di BP4K kabupaten pesawaran),,,,,DIPA Fisip Unila,,,,,,,,
9,published,['H1'],"Dalam rangka mengatasi persoalan pelayanan publik, pemerintah daerah dihadapkan pada keterbatasan sumberdaya. Dilihat dari perspektif peran dan fungsi pemerintah, maka semakin meluas apapun berbagai isu-isu kebijakan publik seyogyanya harus bisa diatasi dan dipecahkan oleh pemerintah sehingga masyarakat memperoleh kepuasan atas pelayanan yang diberikan oleh kelembagaan pemerintah daerah. Salah satu urusan wajib pemerintah daerah adalah sektor pertanian, termasuk perikanan dan kehutanan. Sektor ini terbukti dapat diandalkan dalam menghadapi krisis ekonomi di Indonesia. 
Penelitian ini hendak menjawab pertanyaan tentang isu-isu kebijakan publik apa yang berkembang pada kelembagaan pemerintah (dalam hal ini BP4K Kabupaten Pesawaran), keterbatasan apa yang dihadapi oleh lembaga tersebut dalam mengatasi isu-isu kebijakan publik dan pelayanan publik, serta rekomendasi kebijakan seperti apa yang bisa mengantisipasi dan mengatasi berbagai persoalan isu-isu kebijakan yang dialami oleh BP4K Kabupaten Pesawaran di masa mendatang. 
Hasil penelitian menunjukkan bahwa isu strategis dan/atau permasalahan yang dihadapi oleh BP3K di Kabupaten Pesawaran secara umum terdiri atas 7 (tujuh) aspek mulai aspek kelembagaan penyuluh dan kelompok tani, aspek penyuluh, aspek petani, aspek kerja sama, aspek sarana prasarana, aspek penyelenggaraan penyuluhan, dan aspek pembiayaan. Sedangkan isu kebijakan dalam pengorganisasian kelembagaan penyuluhan pertanian yang dijumpai pada kegiatan penyuluhan pertanian termasuk peran Pemerintah Daerah Kabupaten Pesawaran dalam aspek kelembagaan mencakup (1) Dalam kelembagaan BP4K, meskipun seharusnya sudah ada keterpaduan, namun masih ada pemisahan antara sektor perkebunan, perikanan, kehutanan, dan tanaman pangan sehingga pola koordinasi belum berjalan baik. (2) BP4K Kabupaten Pesawaran belum optimal dalam memberikan dukungan regulasi (keputusan bupati), dukungan anggaran maupun dukungan instrumen yang dibutuhkan oleh BP3K dalam pelaksanaan penyuluhan maupun penilaian kelompok tani dan/atau gabungan kelompok tani. (3) Kelembagaan petani di tingkat desa juga masih terpecahpecah ke dalam sektor tertentu (kehutanan misalnya), padahal idealnya sektor tersebut adalah seksi atau bagian atau sub-bidang dari kelompok tani.",,http://repository.lppm.unila.ac.id/id/eprint/18410,1970-01-01 00:00:00.000002014,['FISIP3'],,disk0/00/01/84/10,public,2020-03-06 05:50:00,unpub,9,2020-03-06 05:50:00,18410,archive,show,681,,2020-03-06 05:50:00,"[{'format': 'text', 'main': 'Laporan DIPA FISIP 2015.pdf', 'docid': 31561, 'files': [{'datasetid': 'document', 'fileid': 154849, 'hash': '6a171e5ae39763c6d71ab864f83b1bd6', 'mime_type': 'application/pdf', 'objectid': 31561, 'filesize': 780663, 'filename': 'Laporan DIPA FISIP 2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/154849', 'hash_type': 'MD5', 'mtime': '2020-03-06 04:38:04'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 18410, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31561'}]",other,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'family': 'Mukhlis', 'lineage': None, 'honourific': None, 'given': 'Maulana'}}, {'name': {'given': 'syarief', 'family': 'makhya', 'lineage': None, 'honourific': None}, 'id': 'symakhya@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'family': 'PRIANGGA', 'lineage': None, 'given': 'PIPING SETIA'}}]",ANALISIS ISU KEBIJAKAN DALAM PENGEMBANGAN KELEMBAGAAN PEMERINTAH  (Studi Di BP4K Kabupaten Pesawaran),,,,,Universitas Lampung,,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung']",,,,
